Date,Items,Type,Total,Wallet,
,,,,Change,Balance
19-May-25,Steam Community Market,4 Market Transactions,$0.08 ,$0.08 ,$0.95 
,,Wallet,Credit,,
16-Apr-25,Steam Community Market,Market Transaction,$0.04 ,$0.04 ,$0.87 
,,Wallet,Credit,,
10-Apr-25,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.83 
,,Wallet,Credit,,
6-Apr-25,Steam Community Market,Market Transaction,$0.05 ,$0.05 ,$0.80 
,,Wallet,Credit,,
1-Apr-25,Steam Community Market,10 Market Transactions,$0.75 ,$0.75 ,$0.75 
,,Wallet,Credit,,
17-Mar-25,Assassin's Creed Shadows - Standard Edition (Pre-purchase),Purchase,$77.69 ,($1.11),$0.00 
,,$1.11 Wallet,,,
,,$76.58 MasterCard,,,
22-Feb-25,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$1.11 
,,Wallet,Credit,,
17-Feb-25,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$1.08 
,,Wallet,Credit,,
2-Jan-25,ASTRONEER,Purchase,$39.94 ,,
,Astroneer: Glitchwalkers DLC,MasterCard **76,,,
21-Dec-24,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$1.06 
,,Wallet,Credit,,
18-Dec-24,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$1.03 
,,Wallet,Credit,,
13-Dec-24,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$1.01 
,,Wallet,Credit,,
10-Dec-24,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.99 
,,Wallet,Credit,,
7-Dec-24,Overcooked! All You Can Eat,Gift Purchase,$15.01 ,,
,Picture,MasterCard **76,,,
,Gift sent to AlulaTheDolf | TTV,,,,
4-Dec-24,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$0.96 
,,Wallet,Credit,,
29-Nov-24,Steam Community Market,2 Market Transactions,$0.12 ,$0.12 ,$0.94 
,,Wallet,Credit,,
30-Oct-24,Steam Community Market,2 Market Transactions,$0.06 ,$0.06 ,$0.82 
,,Wallet,Credit,,
28-Oct-24,Steam Community Market,Market Transaction,$0.04 ,$0.04 ,$0.76 
,,Wallet,Credit,,
22-Oct-24,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$0.72 
,,Wallet,Credit,,
15-Oct-24,Steam Community Market,Market Transaction,$0.04 ,$0.04 ,$0.70 
,,Wallet,Credit,,
13-Oct-24,Steam Community Market,2 Market Transactions,$0.06 ,$0.06 ,$0.66 
,,Wallet,Credit,,
11-Oct-24,Steam Community Market,3 Market Transactions,$0.09 ,$0.09 ,$0.60 
,,Wallet,Credit,,
31-Jul-24,Steam Community Market,2 Market Transactions,$0.06 ,$0.06 ,$0.51 
,,Wallet,Credit,,
11-Jul-24,Steam Community Market,Market Transaction,$0.02 ,$0.02 ,$0.45 
,,Wallet,Credit,,
3-Jul-24,Steam Community Market,2 Market Transactions,$0.05 ,$0.05 ,$0.43 
,,Wallet,Credit,,
18-Jun-24,Steam Community Market,Market Transaction,$0.03 ,$0.03 ,$0.38 
,,Wallet,Credit,,
