Date,Items,Type,Total,Wallet,
17-Mar-25,Assassin's Creed Shadows - Standard Edition (Pre-purchase),Purchase,$77.69 ,($1.11),$0.00 
2-Jan-25,ASTRONEER,Purchase,$39.94 ,,
,Astroneer: Glitchwalkers DLC,MasterCard **76,,,
28-Mar-24,Enshrouded,Purchase,$33.12 ,($0.40),$0.00 
3-Jan-24,Assassin's Creed Unity (RoW),Purchase,$95.29 ,($3.12),$0.00 
,Assassin's Creed Syndicate (WW),$3.12 Wallet,,,
,Assassin's Creed Black Flag - Gold Edition,$92.17 Discover,,,
,Assassin's Creed,,,,
,Assassin's Creed II,,,,
,Assassin's Creed 3 Remastered Edition,,,,
,Assassin's Creed Freedom Cry,,,,
,Assassin's Creed Odyssey - Standard Edition,,,,
,Assassin's Creed Valhalla,,,,
,Assassin's Creed Brotherhood,,,,
,Assassin's Creed Revelations,,,,
,Assassin's Creed Liberation Release,,,,
15-Jul-23,Fallout New Vegas Ultimate ROW,Purchase,$22.08 ,,
24-Dec-22,Sekiro: Shadows Die Twice (Rest of World),Purchase,$41.39 ,,
,Oxygen Not Included,Discover **88,,,
1-Jun-22,FOREWARNED,Purchase,$13.96 ,,
16-May-22,Door Kickers 2,Purchase,$19.34 ,,
4-Mar-22,Increlution,Purchase,$3.21 ,,
23-Feb-22,ELDEN RING,Purchase,$64.49 ,($1.88),$0.00 
28-Jan-22,Project Zomboid,Purchase,$21.49 ,,
10-Jan-22,WayOut,Purchase,$17.18 ,,
,WayOut 2: Hex,Discover **88,,,
,"Sorry, James",,,,
,Lines X,,,,
,Lines Infinite,,,,
,Sudoku Universe,,,,
,The Big Journey,,,,
,Nonogram - The Greatest Painter,,,,
,Sudoku Jigsaw,,,,
,Sudoku Killer,,,,
29-Oct-21,Castle Crashers,Purchase,$3.21 ,($1.71),$0.00 
3-Jul-21,Satisfactory,Purchase,$26.29 ,($6.57),$0.00 
27-May-21,Dread Hunger,Purchase,$27.39 ,($0.29),$0.00 
24-May-21,Caveblazers,Purchase,$1.09 ,($1.09),$0.27 
14-May-21,Mass Effect Legendary Edition,Purchase,$65.75 ,($1.45),$0.00 
8-Feb-21,Valheim,Purchase,$21.91 ,($1.76),$0.00 
23-Jan-21,Dyson Sphere Program,Purchase,$19.72 ,($0.56),$0.00 
24-Dec-20,Assassins Creed® Chronicles: Trilogy,Purchase,$71.50 ,($66.79),$0.00 
,"Hot Dogs, Horseshoes &amp; Hand Grenades",$66.79 Wallet,,,
,Danganronpa: Trigger Happy Havoc,$4.71 MasterCard,,,
,5D Chess With Multiverse Time Travel,,,,
,DARQ,,,,
,Chrono Trigger,,,,
,Assassin's Creed - Rogue Deluxe,,,,
22-Dec-20,STAR WARS: Squadrons,Purchase,$40.52 ,,
,Assassin's Creed Origins - Standard Edition,MasterCard **66,,,
,Poly Bridge,,,,
1-Dec-20,Among Us,Purchase,$4.37 ,,
29-Nov-20,Tower Tag,Purchase,$41.07 ,($0.33),$0.00 
,Swords of Gurrah,$0.33 Wallet,,,
,Blade & Sorcery,$40.74 MasterCard,,,
2-Nov-20,Warhammer: Vermintide 2,Purchase,$8.21 ,,
20-Oct-20,STRIDE,Purchase,$21.64 ,($0.08),$0.00 
19-Sep-20,A Monster's Expedition,Purchase,$21.13 ,($0.03),$0.00 
,Cosmic Express,$0.03 Wallet,,,
,Sokobond,$21.10 MasterCard,,,
2-Sep-20,Fall Guys,Purchase,$21.64 ,($0.29),$0.00 
18-Jul-20,shapez,Purchase,$4.32 ,,
16-Jul-20,Star Trek: Bridge Crew,Purchase,$34.08 ,($6.57),$0.00 
,Star Trek : Bridge Crew  The Next Generation,$6.57 Wallet,,,
8-Jul-20,GORN,Purchase,$82.20 ,,
,Budget Cuts,MasterCard **66,,,
,Space Pirate Trainer,,,,
,Beat Saber,,,,
,Pavlov,,,,
,Keep Talking and Nobody Explodes,,,,
8-Jul-20,Valve Index VR Kit,Purchase,"$1,081.42 ",($0.47),$0.00 
,View Shipment Details,$0.47 Wallet,,,
27-Jun-20,Space Pirates and Zombies 2,Purchase,$36.78 ,($0.40),$0.00 
,Risk of Rain 2,$0.40 Wallet,,,
,The Witcher 3: Wild Hunt - Complete Edition,$36.38 MasterCard,,,
25-Jun-20,Titanfall® 2: Ultimate Edition,Purchase,$10.71 ,($1.30),$0.00 
30-May-20,Tabletop Simulator,Purchase,$21.64 ,($1.15),$0.00 
30-May-20,Poly Bridge 2,Purchase,$25.96 ,,
,Blood Bowl 2 - Legendary Edition,MasterCard **66,,,
26-Apr-20,Project Winter,Purchase,$7.57 ,($1.67),$0.00 
20-Apr-20,Total War: WARHAMMER II,Purchase,$22.07 ,($0.05),$0.00 
14-Apr-20,Receiver,Purchase,$1.07 ,,
30-Mar-20,Mount & Blade II: Bannerlord,Purchase,$43.29 ,,
12-Mar-20,X-Com Complete Pack,Purchase,$4.05 ,($0.12),$0.00 
1-Jan-20,Dishonored: Complete Collection,Purchase,$68.57 ,,
,Deus Ex: Game of the Year Edition,MasterCard **56,,,
,Deus Ex: Invisible War,,,,
,Deus Ex: The Fall,,,,
,Deus Ex: Human Revolution - Director's Cut (ROW),,,,
,Deus Ex: Mankind Divided DLC - Season Pass,,,,
,Deus Ex: Mankind Divided,,,,
,Far Cry 3,,,,
,Far Cry 3 - Blood Dragon,,,,
,Far Cry 4,,,,
,Far Cry Primal Standard Edition (WW),,,,
25-Dec-19,Bully: Scholarship Edition,Purchase,$0.26 ,($0.06),$0.00 
21-Dec-19,Grand Theft Auto III Trilogy,Purchase,$44.80 ,,
,Creeper World 2 Anniversary Edition,MasterCard **56,,,
,Creeper World Anniversary Edition,,,,
,Oblivion Game of the Year Deluxe,,,,
,Morrowind Game of the Year,,,,
,Bendy and the Ink Machine,,,,
,Counter-Strike: Source,,,,
,Starwars Republic Commando,,,,
,STAR WARS Knights of the Old Republic II - The Sith Lords,,,,
,STAR WARS® X-Wing vs TIE Fighter + Balance of Power,,,,
,Saints Row 2 (ROW),,,,
24-Nov-19,Tower Unite,Purchase,$16.23 ,($1.23),$0.00 
23-Aug-19,Dicey Dungeons,Purchase,$14.99 ,($0.06),$0.00 
31-Jul-19,House Flipper,Purchase,$13.99 ,,
30-Jul-19,Life is Strange Complete Season (Episodes 1-5),Purchase,$3.99 ,,
30-Jul-19,Prey Digital Deluxe,Purchase,$7.99 ,($0.79),$0.00 
8-Apr-19,The Witcher 2,Purchase,$2.99 ,($2.99),$0.04 
15-Jan-19,American Truck Simulator,Purchase,$4.99 ,($4.99),$1.85 
3-Jan-19,Stardew Valley,Purchase,$11.24 ,($11.24),$6.72 
3-Jan-19,Europa Universalis IV: Dharma,Purchase,$23.38 ,($23.38),$17.96 
,Europa Universalis IV: Mandate of Heaven,Wallet,,,
20-Dec-18,Tom Clancy's Rainbow Six Siege,Purchase,$40.07 ,($40.07),$1.24 
,Europa Universalis IV: Cradle of Civilization,Wallet,,,
,Beyond Good and Evil,,,,
,Lords of Football,,,,
,Far Cry,,,,
,Far Cry 2,,,,
,Left 4 Dead,,,,
,Left 4 Dead 2,,,,
17-Jul-18,Grand Theft Auto V,Purchase,$19.79 ,($19.79),$0.21 
29-Jun-18,The Elder Scrolls Online: Plus 1 Month Membership,In-Game Purchase,$30.25 ,($0.40),$0.00 
,Just Cause,$0.40 Wallet,,,
,Just Cause 2,$29.85 MasterCard,,,
,Just Cause 2 DLC: Black Market Aerial Pack,,,,
,Just Cause 2 Black Market Boom Pack,,,,
,Just Cause 2 DLC - Bull's Eye Assault Rifle,,,,
,Just Cause 2 DLC - Rico's Signature Gun,,,,
,Just Cause 2 DLC - Chevalier Classic,,,,
,Just Cause 2 DLC - Agency Hovercraft,,,,
,Just Cause 2 DLC - Monster Truck,,,,
,Just Cause 3 - Combat Buggy,,,,
,Just Cause 3 - Mini-Gun Racing Boat,,,,
,Just Cause 3 - Rocket Launcher Sports Car,,,,
,Just Cause 3 - Final Argument Sniper Rifle,,,,
,Just Cause 3 - Capstone Bloodhound RPG,,,,
,"Just Cause 3: Air, Land & Sea Expansion Pass",,,,
,Just Cause 3,,,,
,Just Cause 3 DLC: Kousavá Rifle,,,,
,Just Cause 3 DLC: Reaper Missile Mech,,,,
,The Elder Scrolls® Online,,,,
,The Elder Scrolls Online: Plus 1 Month Membership,,,,
26-Jun-18,The Witcher: Enhanced Edition,Purchase,$2.28 ,($2.28),$0.40 
,Oh...Sir!! The Insult Simulator,Wallet,,,
26-Jun-18,Dungeon Defenders,Purchase,$3.74 ,($3.74),$2.68 
6-May-18,STAR WARS Knights of the Old Republic,Purchase,$19.16 ,($19.16),$1.40 
,"STAR WARS Battlefront II (Classic, 2005)",Wallet,,,
,Star Wars: Empire at War Gold,,,,
,Mount Your Friends 3D: A Hard Man is Good to Climb,,,,
15-Feb-18,Hand Simulator,Purchase,$0.99 ,($0.99),$1.15 
11-Feb-18,Blood and Bacon,Purchase,$0.79 ,($0.79),$3.11 
20-Jan-18,Stick Fight: The Game,Purchase,$4.99 ,($4.99),$3.79 
14-Jan-18,Human Fall Flat,Purchase,$14.99 ,($14.99),$6.66 
13-Jan-18,Kingdoms and Castles,Purchase,$7.49 ,($7.49),$21.65 
21-Dec-17,Forts,Purchase,$40.87 ,($40.87),$4.14 
,Stellaris,Wallet,,,
,Colony Survival,,,,
9-Jul-17,Middle-earth: Shadow of Mordor Game of the Year Edition,Purchase,$4.00 ,,
24-Jun-17,Crusader Kings II,Purchase,$29.98 ,($0.78),$0.00 
,Hearts of Iron IV (OLD - DO NOT USE),$0.78 Wallet,,,
